ts,track_id,side,x,y,conf,source
1780885438.866,1,R,467.2,553.0,0.485,direct
1780885438.901,1,L,645.5,418.4,0.515,direct
1780885438.901,1,R,462.7,552.1,0.502,direct
1780885438.946,1,L,645.5,418.4,0.515,direct
1780885438.946,1,R,458.6,550.2,0.502,direct
1780885438.981,1,L,645.5,418.4,0.582,direct
1780885438.981,1,R,458.5,550.2,0.585,direct
1780885439.026,1,L,645.5,418.4,0.718,direct
1780885439.026,1,R,458.4,547.6,0.731,direct
1780885439.072,1,L,645.5,418.4,0.718,direct
1780885439.072,1,R,459.0,546.2,0.731,direct
1780885439.118,1,L,645.5,418.4,0.822,direct
1780885439.118,1,R,461.7,543.2,0.818,direct
1780885439.163,1,L,645.5,418.4,0.859,direct
1780885439.163,1,R,464.3,541.5,0.863,direct
1780885439.197,1,L,645.5,418.4,0.859,direct
1780885439.197,1,R,465.9,540.6,0.863,direct
1780885439.244,1,L,645.5,418.4,0.896,direct
1780885439.244,1,R,468.1,538.4,0.894,direct
1780885439.290,1,L,645.5,418.4,0.896,direct
1780885439.290,1,R,469.6,536.6,0.894,direct
1780885439.334,1,L,645.5,418.4,0.838,direct
1780885439.334,1,R,470.4,535.3,0.848,direct
1780885439.369,1,L,645.5,418.4,0.838,direct
1780885439.369,1,R,470.8,534.6,0.848,direct
1780885439.404,1,L,645.5,418.4,0.818,direct
1780885439.404,1,R,471.0,534.5,0.842,direct
1780885439.445,1,L,645.5,418.4,0.818,direct
1780885439.445,1,R,471.1,534.7,0.842,direct
1780885439.479,1,L,645.5,418.4,0.836,direct
1780885439.479,1,R,470.8,537.7,0.858,direct
1780885439.510,1,L,645.5,418.4,0.866,direct
1780885439.510,1,R,470.2,540.2,0.883,direct
1780885439.546,1,L,645.5,418.4,0.866,direct
1780885439.546,1,R,469.7,542.0,0.883,direct
1780885439.586,1,L,645.5,418.4,0.872,direct
1780885439.586,1,R,469.0,542.7,0.886,direct
1780885439.622,1,L,645.5,418.4,0.872,direct
1780885439.622,1,R,468.5,542.9,0.886,direct
1780885439.669,1,L,645.5,418.4,0.912,direct
1780885439.669,1,R,468.2,543.1,0.917,direct
1780885439.717,1,L,645.5,418.4,0.912,direct
1780885439.717,1,R,467.8,543.2,0.917,direct
1780885439.762,1,L,645.5,418.4,0.912,direct
1780885439.762,1,R,467.7,543.2,0.924,direct
1780885439.796,1,L,645.5,418.4,0.906,direct
1780885439.796,1,R,467.6,543.2,0.928,direct
1780885439.841,1,L,645.5,418.4,0.906,direct
1780885439.841,1,R,467.6,543.3,0.928,direct
1780885439.888,1,L,645.5,418.4,0.912,direct
1780885439.888,1,R,468.7,544.0,0.936,direct
1780885439.923,1,L,645.5,418.4,0.912,direct
1780885439.923,1,R,469.8,544.7,0.936,direct
1780885439.966,1,L,645.5,418.4,0.930,direct
1780885439.966,1,R,470.7,543.7,0.953,direct
1780885439.998,1,L,645.5,418.4,0.930,direct
1780885439.998,1,R,471.2,542.5,0.953,direct
1780885440.034,1,L,645.5,418.4,0.916,direct
1780885440.034,1,R,472.7,543.0,0.940,direct
1780885440.066,1,L,645.5,418.4,0.916,direct
1780885440.066,1,R,474.2,544.0,0.940,direct
1780885440.102,1,L,645.5,418.4,0.930,direct
1780885440.102,1,R,474.6,543.9,0.951,direct
1780885440.140,1,L,645.5,418.4,0.917,direct
1780885440.140,1,R,474.5,543.3,0.945,direct
1780885440.175,1,L,645.5,418.4,0.917,direct
1780885440.175,1,R,474.0,541.9,0.945,direct
1780885440.217,1,L,645.5,418.4,0.957,direct
1780885440.217,1,R,473.7,541.5,0.969,direct
1780885440.249,1,L,645.5,418.4,0.957,direct
1780885440.249,1,R,473.4,541.2,0.969,direct
1780885440.284,1,L,645.5,418.4,0.936,direct
1780885440.284,1,R,473.4,541.1,0.946,direct
1780885440.325,1,L,645.5,418.4,0.936,direct
1780885440.325,1,R,473.4,541.0,0.946,direct
1780885440.360,1,L,645.5,418.4,0.926,direct
1780885440.360,1,R,473.4,540.5,0.939,direct
1780885440.391,1,L,645.5,418.4,0.926,direct
1780885440.391,1,R,473.2,538.9,0.939,direct
1780885440.423,1,L,645.5,418.4,0.916,direct
1780885440.423,1,R,472.8,536.5,0.927,direct
1780885440.455,1,L,645.5,418.4,0.916,direct
1780885440.455,1,R,472.5,534.7,0.927,direct
1780885440.493,1,L,645.5,418.4,0.917,direct
1780885440.493,1,R,472.2,533.9,0.928,direct
1780885440.535,1,L,645.5,418.4,0.917,direct
1780885440.535,1,R,472.0,533.4,0.928,direct
1780885440.564,1,L,645.5,418.4,0.926,direct
1780885440.564,1,R,471.7,533.6,0.942,direct
1780885440.594,1,L,645.5,418.4,0.950,direct
1780885440.594,1,R,471.2,536.5,0.965,direct
1780885440.660,1,L,645.5,418.4,0.951,direct
1780885440.660,1,R,471.7,538.9,0.965,direct
1780885440.693,1,L,645.5,418.4,0.951,direct
1780885440.693,1,R,472.2,540.0,0.965,direct
1780885440.724,1,L,645.5,418.4,0.953,direct
1780885440.724,1,R,472.4,540.3,0.964,direct
1780885440.757,1,L,645.5,418.4,0.953,direct
1780885440.757,1,R,472.6,540.2,0.964,direct
1780885440.804,1,L,645.5,418.4,0.946,direct
1780885440.804,1,R,472.5,540.6,0.954,direct
1780885440.836,1,L,645.5,418.4,0.946,direct
1780885440.836,1,R,472.4,541.0,0.954,direct
1780885440.870,1,L,645.5,418.4,0.948,direct
1780885440.870,1,R,472.3,541.4,0.955,direct
1780885440.918,1,L,645.5,418.4,0.948,direct
1780885440.918,1,R,472.1,541.8,0.955,direct
1780885440.963,1,L,645.5,418.4,0.938,direct
1780885440.963,1,R,471.5,543.9,0.948,direct
1780885440.995,1,L,645.5,418.4,0.938,direct
1780885440.995,1,R,471.1,545.4,0.948,direct
1780885441.026,1,L,645.5,418.4,0.951,direct
1780885441.026,1,R,471.1,545.5,0.959,direct
1780885441.062,1,L,645.5,418.4,0.951,direct
1780885441.062,1,R,471.1,545.4,0.959,direct
1780885441.106,1,L,645.5,418.4,0.937,direct
1780885441.106,1,R,471.4,546.7,0.951,direct
1780885441.138,1,L,645.5,418.4,0.937,direct
1780885441.138,1,R,471.5,548.4,0.951,direct
1780885441.174,1,L,645.5,418.4,0.934,direct
1780885441.174,1,R,471.2,549.2,0.947,direct
1780885441.215,1,L,645.5,418.4,0.934,direct
1780885441.216,1,R,470.9,549.8,0.947,direct
1780885441.248,1,L,645.5,418.4,0.937,direct
1780885441.248,1,R,470.5,550.1,0.950,direct
1780885441.284,1,L,645.5,418.4,0.937,direct
1780885441.284,1,R,470.3,550.3,0.950,direct
1780885441.317,1,L,645.5,418.4,0.927,direct
1780885441.317,1,R,470.3,550.3,0.941,direct
1780885441.359,1,L,645.5,418.4,0.904,direct
1780885441.359,1,R,470.3,550.1,0.922,direct
1780885441.391,1,L,645.5,418.4,0.904,direct
1780885441.391,1,R,470.5,549.7,0.922,direct
1780885441.427,1,L,645.5,418.4,0.915,direct
1780885441.427,1,R,470.7,549.5,0.931,direct
1780885441.471,1,L,645.5,418.4,0.915,direct
1780885441.471,1,R,471.0,549.4,0.931,direct
1780885441.518,1,L,645.5,418.4,0.913,direct
1780885441.518,1,R,471.4,549.3,0.931,direct
1780885441.565,1,L,645.5,418.4,0.845,direct
1780885441.565,1,R,469.7,554.1,0.877,direct
1780885441.612,1,L,645.5,418.4,0.845,direct
1780885441.612,1,R,468.0,558.0,0.877,direct
1780885441.660,1,L,645.5,418.4,0.684,direct
1780885441.660,1,R,460.8,563.2,0.722,direct
1780885441.692,1,L,645.5,418.4,0.684,direct
1780885441.692,1,R,457.0,565.6,0.722,direct
1780885441.726,1,L,645.5,418.4,0.596,direct
1780885441.726,1,R,450.5,567.5,0.641,direct
1780885441.770,1,L,645.5,418.4,0.596,direct
1780885441.770,1,R,445.0,568.9,0.641,direct
1780885441.814,1,L,645.5,418.4,0.697,direct
1780885441.814,1,R,438.5,570.8,0.734,direct
1780885441.849,1,L,645.5,418.4,0.697,direct
1780885441.849,1,R,435.7,571.6,0.734,direct
1780885441.892,1,L,645.5,418.4,0.624,direct
1780885441.893,1,R,429.6,572.2,0.648,direct
1780885441.925,1,L,645.5,418.4,0.634,direct
1780885441.925,1,R,426.1,571.7,0.675,direct
1780885441.962,1,L,645.5,418.4,0.634,direct
1780885441.962,1,R,423.5,571.2,0.675,direct
1780885442.007,1,L,645.5,418.4,0.500,direct
1780885442.008,1,R,419.3,571.2,0.566,direct
1780885442.052,1,L,645.5,418.4,0.500,direct
1780885442.052,1,R,416.3,571.4,0.566,direct
1780885442.083,1,L,645.5,418.4,0.549,direct
1780885442.083,1,R,414.5,569.3,0.606,direct
1780885442.115,1,L,645.5,418.4,0.549,direct
1780885442.115,1,R,413.2,566.9,0.606,direct
1780885442.147,1,L,645.5,418.4,0.177,low_conf_fused
