ts,pid,side,x,y,conf,source
1780661699.838,0,R,503.5,469.9,0.979,direct
1780661699.876,0,L,575.2,427.9,0.991,direct
1780661699.876,0,R,507.7,466.9,0.993,direct
1780661699.917,0,L,575.0,428.0,0.991,direct
1780661699.917,0,R,507.9,466.8,0.993,direct
1780661699.956,0,L,576.2,426.5,0.990,direct
1780661699.957,0,R,507.2,468.6,0.993,direct
1780661699.997,0,L,576.5,426.1,0.990,direct
1780661699.997,0,R,507.1,469.1,0.993,direct
1780661700.044,0,L,576.4,427.2,0.988,direct
1780661700.044,0,R,505.4,463.0,0.991,direct
1780661700.092,0,L,576.2,427.9,0.988,direct
1780661700.092,0,R,505.6,461.1,0.991,direct
1780661700.138,0,L,576.4,428.9,0.988,direct
1780661700.138,0,R,505.0,460.7,0.991,direct
1780661700.183,0,L,576.5,429.4,0.988,direct
1780661700.183,0,R,504.9,460.7,0.991,direct
1780661700.220,0,L,576.4,428.8,0.987,direct
1780661700.220,0,R,505.1,459.9,0.991,direct
1780661700.257,0,L,576.2,428.4,0.987,direct
1780661700.257,0,R,505.2,459.6,0.991,direct
1780661700.291,0,L,576.3,428.2,0.986,direct
1780661700.291,0,R,504.7,459.4,0.990,direct
1780661700.328,0,L,576.4,428.1,0.986,direct
1780661700.328,0,R,504.4,459.4,0.990,direct
1780661700.373,0,L,576.9,428.5,0.987,direct
1780661700.373,0,R,504.9,459.2,0.991,direct
1780661700.411,0,L,577.2,428.8,0.987,direct
1780661700.411,0,R,505.2,459.1,0.991,direct
1780661700.448,0,L,577.3,428.8,0.988,direct
1780661700.448,0,R,505.0,459.2,0.991,direct
1780661700.496,0,L,577.3,428.8,0.988,direct
1780661700.496,0,R,504.8,459.3,0.991,direct
1780661700.531,0,L,577.4,429.1,0.987,direct
1780661700.531,0,R,504.7,460.0,0.991,direct
1780661700.566,0,L,577.3,429.4,0.988,direct
1780661700.566,0,R,504.1,460.3,0.991,direct
1780661700.599,0,L,577.3,429.6,0.988,direct
1780661700.599,0,R,503.6,460.5,0.991,direct
1780661700.635,0,L,577.2,429.5,0.988,direct
1780661700.635,0,R,503.9,460.4,0.991,direct
1780661700.686,0,L,577.1,429.4,0.988,direct
1780661700.687,0,R,504.2,460.4,0.991,direct
1780661700.735,0,L,577.3,429.6,0.988,direct
1780661700.735,0,R,504.2,460.5,0.991,direct
1780661700.782,0,L,577.4,429.3,0.987,direct
1780661700.782,0,R,504.4,460.5,0.991,direct
1780661700.829,0,L,577.5,429.1,0.987,direct
1780661700.829,0,R,504.5,460.6,0.991,direct
1780661700.867,0,L,577.4,429.0,0.987,direct
1780661700.867,0,R,504.2,460.7,0.991,direct
1780661700.908,0,L,577.3,428.9,0.987,direct
1780661700.908,0,R,503.9,460.9,0.991,direct
1780661700.954,0,L,576.9,428.6,0.986,direct
1780661700.954,0,R,503.7,460.9,0.990,direct
1780661701.001,0,L,576.7,428.4,0.986,direct
1780661701.001,0,R,503.6,460.9,0.990,direct
1780661701.046,0,L,576.7,428.5,0.987,direct
1780661701.046,0,R,503.4,460.8,0.991,direct
1780661701.083,0,L,576.7,428.6,0.987,direct
1780661701.083,0,R,503.3,460.7,0.991,direct
1780661701.119,0,L,577.1,428.7,0.988,direct
1780661701.119,0,R,503.7,460.8,0.992,direct
1780661701.156,0,L,577.1,428.8,0.987,direct
1780661701.156,0,R,503.9,460.3,0.991,direct
1780661701.205,0,L,577.3,429.0,0.987,direct
1780661701.205,0,R,504.1,460.7,0.991,direct
1780661701.249,0,L,577.5,429.2,0.987,direct
1780661701.249,0,R,504.3,461.0,0.991,direct
1780661701.283,0,L,577.2,429.1,0.986,direct
1780661701.284,0,R,504.1,460.8,0.990,direct
1780661701.325,0,L,576.9,429.0,0.986,direct
1780661701.325,0,R,504.0,460.6,0.990,direct
1780661701.359,0,L,576.9,429.2,0.987,direct
1780661701.359,0,R,504.0,460.8,0.990,direct
1780661701.396,0,L,576.9,429.4,0.987,direct
1780661701.396,0,R,504.1,460.9,0.990,direct
1780661701.438,0,L,576.9,429.4,0.987,direct
1780661701.438,0,R,503.9,461.3,0.990,direct
1780661701.475,0,L,576.9,429.4,0.987,direct
1780661701.475,0,R,503.8,461.6,0.990,direct
1780661701.511,0,L,577.1,429.4,0.986,direct
